No,hour_A,PM2.5_A,PM10_A,SO2_A,NO2_A,CO_A,O3_A,TEMP_A,station_A,hour_C,PM2.5_C,PM10_C,SO2_C,NO2_C,CO_C,O3_C,TEMP_C,station_C,Date
1,0,4.0,4.0,4.0,7.0,300.0,77.0,-0.7,Aotizhongxin,0,3.0,6.0,13.0,7.0,300.0,85.0,-2.3,Changping,2013-03-01
2,1,8.0,8.0,4.0,7.0,300.0,77.0,-1.1,Aotizhongxin,1,3.0,3.0,6.0,6.0,300.0,85.0,-2.5,Changping,2013-03-01
3,2,7.0,7.0,5.0,10.0,300.0,73.0,-1.1,Aotizhongxin,2,3.0,3.0,22.0,13.0,400.0,74.0,-3.0,Changping,2013-03-01
4,3,6.0,6.0,11.0,11.0,300.0,72.0,-1.4,Aotizhongxin,3,3.0,6.0,12.0,8.0,300.0,81.0,-3.6,Changping,2013-03-01
5,4,3.0,3.0,12.0,12.0,300.0,72.0,-2.0,Aotizhongxin,4,3.0,3.0,14.0,8.0,300.0,81.0,-3.5,Changping,2013-03-01
6,5,5.0,5.0,18.0,18.0,400.0,66.0,-2.2,Aotizhongxin,5,3.0,3.0,10.0,17.0,400.0,71.0,-4.5,Changping,2013-03-01
7,6,3.0,3.0,18.0,32.0,500.0,50.0,-2.6,Aotizhongxin,6,4.0,6.0,12.0,22.0,500.0,65.0,-4.5,Changping,2013-03-01
8,7,3.0,6.0,19.0,41.0,500.0,43.0,-1.6,Aotizhongxin,7,3.0,6.0,25.0,39.0,600.0,48.0,-2.1,Changping,2013-03-01
9,8,3.0,6.0,16.0,43.0,500.0,45.0,0.1,Aotizhongxin,8,9.0,25.0,13.0,42.0,700.0,46.0,-0.2,Changping,2013-03-01
10,9,3.0,8.0,12.0,28.0,400.0,59.0,1.2,Aotizhongxin,9,11.0,29.0,5.0,18.0,500.0,73.0,0.6,Changping,2013-03-01
